stock_conc,con_mean_red_value
S2_0.06,nan
S2_0.08,0.36973100000000003
S2_0.02,0.31620300000000007
S2_0.04,nan
S2_0.1,0.31147100000000005
RPOC_0.06,nan
RPOC_0.08,0.23883933333333338
RPOC_0.02,0.2807813333333334
RPOC_0.04,nan
RPOC_0.1,0.17716075
6803_0.06,nan
6803_0.08,0.329746
6803_0.02,0.4699285
6803_0.04,0.33088999999999996
6803_0.1,0.18717666666666666
7002_0.06,nan
7002_0.08,nan
7002_0.02,0.2743636666666667
7002_0.04,nan
7002_0.1,nan
NMG_0.06,nan
NMG_0.08,0.257021
NMG_0.02,0.399364
NMG_0.04,nan
NMG_0.1,0.16319833333333336
7942_0.06,0.391096
7942_0.08,0.3487013333333333
7942_0.02,0.26056599999999996
7942_0.04,nan
7942_0.1,nan
